Entity,Code,Year,Prevalence of current tobacco use (% of adults)
Czechia,CZE,2018,31.5
Denmark,DNK,2007,28.5
Denmark,DNK,2010,25.3
Denmark,DNK,2012,23.4
Denmark,DNK,2014,21.6
Denmark,DNK,2016,20
Denmark,DNK,2018,18.6
Dominican Republic,DOM,2007,14.3
Dominican Republic,DOM,2010,12.6
Dominican Republic,DOM,2012,11.7
Dominican Republic,DOM,2014,10.8
Dominican Republic,DOM,2016,10.1
Dominican Republic,DOM,2018,9.4
Early-demographic dividend,,2007,33.8560093582259
Early-demographic dividend,,2010,31.2024617538898
Early-demographic dividend,,2012,29.625698878998
Early-demographic dividend,,2014,28.1921065503036
Early-demographic dividend,,2016,26.8954257191129
Early-demographic dividend,,2018,25.645505885434
East Asia & Pacific,,2007,29.3169402336372
East Asia & Pacific,,2010,28.3751114439679
East Asia & Pacific,,2012,27.7505753994429
East Asia & Pacific,,2014,27.0904474233234
East Asia & Pacific,,2016,26.5720926164895
East Asia & Pacific,,2018,26.0975233390865
East Asia & Pacific (IDA & IBRD),,2007,29.6570230965349
East Asia & Pacific (IDA & IBRD),,2010,28.8370158780332
East Asia & Pacific (IDA & IBRD),,2012,28.2813440493918
East Asia & Pacific (IDA & IBRD),,2014,27.6786887472648
East Asia & Pacific (IDA & IBRD),,2016,27.2208084667752
East Asia & Pacific (IDA & IBRD),,2018,26.7994157841112
East Asia & Pacific (excluding high income),,2007,29.5363619027461
East Asia & Pacific (excluding high income),,2010,28.7201597840019
East Asia & Pacific (excluding high income),,2012,28.1675466219976
East Asia & Pacific (excluding high income),,2014,27.5688262981859
East Asia & Pacific (excluding high income),,2016,27.1143489836645
East Asia & Pacific (excluding high income),,2018,26.6959195857211
Egypt,EGY,2007,21.3
Egypt,EGY,2010,21.2
Egypt,EGY,2012,21.1
Egypt,EGY,2014,21.3
Egypt,EGY,2016,21.3
Egypt,EGY,2018,21.4
El Salvador,SLV,2007,16.2
El Salvador,SLV,2010,15.1
El Salvador,SLV,2012,14.5
El Salvador,SLV,2014,13.8
El Salvador,SLV,2016,13.3
El Salvador,SLV,2018,12.7
Eritrea,ERI,2007,10.2
Eritrea,ERI,2010,9.2
Eritrea,ERI,2012,8.7
Eritrea,ERI,2014,8.2
Eritrea,ERI,2016,7.7
Eritrea,ERI,2018,7.2
Estonia,EST,2007,36.4
Estonia,EST,2010,34.7
Estonia,EST,2012,33.6
Estonia,EST,2014,32.4
Estonia,EST,2016,31.5
Estonia,EST,2018,30.5
Eswatini,SWZ,2007,11.4
Eswatini,SWZ,2010,11.1
Eswatini,SWZ,2012,11
Eswatini,SWZ,2014,10.9
Eswatini,SWZ,2016,10.8
Eswatini,SWZ,2018,10.7
Ethiopia,ETH,2007,5.8
Ethiopia,ETH,2010,5.5
Ethiopia,ETH,2012,5.2
Ethiopia,ETH,2014,5
Ethiopia,ETH,2016,4.8
Ethiopia,ETH,2018,4.6
Euro area,,2007,31.2503690720709
Euro area,,2010,30.3955085351369
Euro area,,2012,29.8388431729203
Euro area,,2014,29.3177923892057
Euro area,,2016,28.8418282168692
Euro area,,2018,28.3700348332113
Europe & Central Asia,,2007,31.4629296971278
Europe & Central Asia,,2010,29.9787295832595
Europe & Central Asia,,2012,29.1086667141577
Europe & Central Asia,,2014,28.3111322621251
Europe & Central Asia,,2016,27.5610671427367
Europe & Central Asia,,2018,26.8811882547014
Europe & Central Asia (IDA & IBRD),,2007,31.6677996259511
Europe & Central Asia (IDA & IBRD),,2010,30.2388539488992
Europe & Central Asia (IDA & IBRD),,2012,29.2832774738984
Europe & Central Asia (IDA & IBRD),,2014,28.4444085192225
Europe & Central Asia (IDA & IBRD),,2016,27.6206404670156
Europe & Central Asia (IDA & IBRD),,2018,26.9264598802082
Europe & Central Asia (excluding high income),,2007,31.3675043535497
Europe & Central Asia (excluding high income),,2010,30.0330785844008
Europe & Central Asia (excluding high income),,2012,29.1221004289851
Europe & Central Asia (excluding high income),,2014,28.3395718551876
Europe & Central Asia (excluding high income),,2016,27.5446458449866
Europe & Central Asia (excluding high income),,2018,26.9140464037199
European Union,,2007,32.2658712627026
European Union,,2010,31.0585760543835
European Union,,2012,30.3017538359028
European Union,,2014,29.5885201059091
European Union,,2016,28.9408696025037
European Union,,2018,28.2944444542894
Fiji,FJI,2007,29.9
Fiji,FJI,2010,29
Fiji,FJI,2012,28.5
Fiji,FJI,2014,27.7
Fiji,FJI,2016,27.1
Fiji,FJI,2018,26.7
Finland,FIN,2007,25
Finland,FIN,2010,23.4
Finland,FIN,2012,22.3
Finland,FIN,2014,21.3
Finland,FIN,2016,20.4
Finland,FIN,2018,19.7
Fragile and conflict affected situations,,2007,17.7859638303555
Fragile and conflict affected situations,,2010,16.5606485069784
Fragile and conflict affected situations,,2012,15.8292179332281
Fragile and conflict affected situations,,2014,15.2048371177059
Fragile and conflict affected situations,,2016,14.5492039498561
Fragile and conflict affected situations,,2018,13.9815746461615
France,FRA,2007,34.5
France,FRA,2010,34.5
France,FRA,2012,34.5
France,FRA,2014,34.6
France,FRA,2016,34.6
France,FRA,2018,34.6
Gambia,GMB,2007,18.3
Gambia,GMB,2010,17.1
Gambia,GMB,2012,16.3
Gambia,GMB,2014,15.7
Gambia,GMB,2016,15
Gambia,GMB,2018,14.4
Georgia,GEO,2007,32.4
Georgia,GEO,2010,31.6
Georgia,GEO,2012,30.9
Georgia,GEO,2014,30.6
Georgia,GEO,2016,30.1
Georgia,GEO,2018,29.7
Germany,DEU,2007,31.2
Germany,DEU,2010,30.3
Germany,DEU,2012,29.7
Germany,DEU,2014,29.1
Germany,DEU,2016,28.6
Germany,DEU,2018,28
Ghana,GHA,2007,5.1
Ghana,GHA,2010,4.7
Ghana,GHA,2012,4.4
Ghana,GHA,2014,4.1
Ghana,GHA,2016,3.9
Ghana,GHA,2018,3.7
Greece,GRC,2007,45.3
Greece,GRC,2010,43.4
Greece,GRC,2012,42.1
Greece,GRC,2014,41.2
Greece,GRC,2016,40.2
Greece,GRC,2018,39.1
Guyana,GUY,2007,19.5
Guyana,GUY,2010,17.1
Guyana,GUY,2012,15.6
Guyana,GUY,2014,14.4
Guyana,GUY,2016,13.2
Guyana,GUY,2018,12.2
Haiti,HTI,2007,10.4
Haiti,HTI,2010,9.7
Haiti,HTI,2012,9.3
Haiti,HTI,2014,8.9
Haiti,HTI,2016,8.6
Haiti,HTI,2018,8.3
Heavily indebted poor countries (HIPC),,2007,14.3691519551399
Heavily indebted poor countries (HIPC),,2010,13.2148895983223
Heavily indebted poor countries (HIPC),,2012,12.5133709010258
Heavily indebted poor countries (HIPC),,2014,11.8671509347395
Heavily indebted poor countries (HIPC),,2016,11.2860441100868
Heavily indebted poor countries (HIPC),,2018,10.7764838462942
High income,,2007,29.7914607565563
High income,,2010,28.1547464197918
High income,,2012,27.2203331846922
High income,,2014,26.3077470946287
High income,,2016,25.5024216543462
High income,,2018,24.7518659609152
Hungary,HUN,2007,35.9
Hungary,HUN,2010,34.2
Hungary,HUN,2012,33.5
Hungary,HUN,2014,32.4
Hungary,HUN,2016,31.4
Hungary,HUN,2018,30.6
IBRD only,,2007,30.8394810764664
IBRD only,,2010,29.0561213676322
IBRD only,,2012,27.9433507819166
IBRD only,,2014,26.8789703443347
IBRD only,,2016,25.9434853984799
IBRD only,,2018,25.0288064959293
IDA & IBRD total,,2007,29.7937586038034
IDA & IBRD total,,2010,27.9315307630915
IDA & IBRD total,,2012,26.7737777604145
IDA & IBRD total,,2014,25.6678916706456
IDA & IBRD total,,2016,24.6842894726054
IDA & IBRD total,,2018,23.7306399534723
IDA blend,,2007,18.4723311964591
IDA blend,,2010,16.7063300493445
IDA blend,,2012,15.6722014492349
IDA blend,,2014,14.6950963513392
IDA blend,,2016,13.8479738814781
IDA blend,,2018,12.9947837559371
IDA only,,2007,28.7473923164122
IDA only,,2010,26.5690151762829
IDA only,,2012,25.2316067709374
IDA only,,2014,23.9817711099617
IDA only,,2016,22.817106788392
IDA only,,2018,21.7880963058048
IDA total,,2007,24.7382634876471
IDA total,,2010,22.7041265239087
IDA total,,2012,21.4824210115724
IDA total,,2014,20.3397736771458
IDA total,,2016,19.3033719736747
IDA total,,2018,18.349221565551
Iceland,ISL,2007,22.1
Iceland,ISL,2010,19.4
Iceland,ISL,2012,17.8
Iceland,ISL,2014,16.4
Iceland,ISL,2016,15
Iceland,ISL,2018,13.8
India,IND,2007,38.5
India,IND,2010,34.8
India,IND,2012,32.6
India,IND,2014,30.6
India,IND,2016,28.8
India,IND,2018,27
Indonesia,IDN,2007,39.3
Indonesia,IDN,2010,38.8
Indonesia,IDN,2012,38.5
Indonesia,IDN,2014,38.3
Indonesia,IDN,2016,38.1
Indonesia,IDN,2018,37.9
Iran,IRN,2007,18
Iran,IRN,2010,16.8
Iran,IRN,2012,16.1
Iran,IRN,2014,15.3
Iran,IRN,2016,14.6
Iran,IRN,2018,14
Iraq,IRQ,2007,25.2
Iraq,IRQ,2010,24.2
Iraq,IRQ,2012,23.6
Iraq,IRQ,2014,23.1
Iraq,IRQ,2016,22.6
Iraq,IRQ,2018,22.2
Ireland,IRL,2007,30.2
Ireland,IRL,2010,28.2
Ireland,IRL,2012,26.9
Ireland,IRL,2014,25.9
Ireland,IRL,2016,24.6
Ireland,IRL,2018,23.6
Israel,ISR,2007,28.7
Israel,ISR,2010,27.8
Israel,ISR,2012,27.2
Israel,ISR,2014,26.6
Israel,ISR,2016,26
Israel,ISR,2018,25.5
Italy,ITA,2007,25.1
Italy,ITA,2010,24.7
Italy,ITA,2012,24.3
Italy,ITA,2014,24
Italy,ITA,2016,23.6
Italy,ITA,2018,23.4
Jamaica,JAM,2007,15.4
Jamaica,JAM,2010,14
Jamaica,JAM,2012,13.1
Jamaica,JAM,2014,12.4
Jamaica,JAM,2016,11.6
Jamaica,JAM,2018,11
Japan,JPN,2007,28.3
Japan,JPN,2010,26.4
Japan,JPN,2012,25.1
Japan,JPN,2014,23.9
Japan,JPN,2016,22.8
Japan,JPN,2018,21.9
Kazakhstan,KAZ,2007,29.4
Kazakhstan,KAZ,2010,27.9
Kazakhstan,KAZ,2012,27
Kazakhstan,KAZ,2014,26.2
Kazakhstan,KAZ,2016,25.3
Kazakhstan,KAZ,2018,24.4
Kenya,KEN,2007,15.6
Kenya,KEN,2010,14.4
Kenya,KEN,2012,13.7
Kenya,KEN,2014,13
Kenya,KEN,2016,12.4
Kenya,KEN,2018,11.8
Kiribati,KIR,2007,61.2
Kiribati,KIR,2010,58.1
Kiribati,KIR,2012,56.7
Kiribati,KIR,2014,55.2
Kiribati,KIR,2016,53.5
Kiribati,KIR,2018,52
Kuwait,KWT,2007,24.4
Kuwait,KWT,2010,23.6
Kuwait,KWT,2012,23.2
Kuwait,KWT,2014,22.8
Kuwait,KWT,2016,22.4
Kuwait,KWT,2018,22.1
Kyrgyzstan,KGZ,2007,30.1
Kyrgyzstan,KGZ,2010,29.4
Kyrgyzstan,KGZ,2012,29
Kyrgyzstan,KGZ,2014,28.6
Kyrgyzstan,KGZ,2016,28.2
Kyrgyzstan,KGZ,2018,27.9
Laos,LAO,2007,51.1
Laos,LAO,2010,47
Laos,LAO,2012,44.4
Laos,LAO,2014,42.2
Laos,LAO,2016,39.9
Laos,LAO,2018,37.8
Late-demographic dividend,,2007,27.4328647981549
Late-demographic dividend,,2010,26.3486637733667
Late-demographic dividend,,2012,25.6258574065237
Late-demographic dividend,,2014,24.8766078323517
Late-demographic dividend,,2016,24.2724137378123
Late-demographic dividend,,2018,23.6936517661701
Latin America & Caribbean,,2007,23.5904574613324
Latin America & Caribbean,,2010,21.1262341987583
Latin America & Caribbean,,2012,19.6763512824138
Latin America & Caribbean,,2014,18.3150294922186
Latin America & Caribbean,,2016,17.0788107662143
Latin America & Caribbean,,2018,15.917476831889
Latin America & Caribbean (IDA & IBRD),,2007,23.2235117793446
Latin America & Caribbean (IDA & IBRD),,2010,20.7975972574431
Latin America & Caribbean (IDA & IBRD),,2012,19.3706313133492
Latin America & Caribbean (IDA & IBRD),,2014,18.0277994805383
Latin America & Caribbean (IDA & IBRD),,2016,16.8109347472217
Latin America & Caribbean (IDA & IBRD),,2018,15.6631485968956
Latin America & Caribbean (excluding high income),,2007,22.5629410203739
Latin America & Caribbean (excluding high income),,2010,20.0562701691024
Latin America & Caribbean (excluding high income),,2012,18.6002211629084
Latin America & Caribbean (excluding high income),,2014,17.2304211408991
Latin America & Caribbean (excluding high income),,2016,15.9741879024958
Latin America & Caribbean (excluding high income),,2018,14.7948404196645
Latvia,LVA,2007,39
Latvia,LVA,2010,38.4
Latvia,LVA,2012,37.9
Latvia,LVA,2014,37.5
Latvia,LVA,2016,37.1
Latvia,LVA,2018,36.7
Least developed countries: UN classification,,2007,30.0448673953858
Least developed countries: UN classification,,2010,27.769065182755
Least developed countries: UN classification,,2012,26.3662555949944
Least developed countries: UN classification,,2014,25.0558536863771
Least developed countries: UN classification,,2016,23.83437916644
Least developed countries: UN classification,,2018,22.7454190404146
Lebanon,LBN,2007,43.3
Lebanon,LBN,2010,42.9
Lebanon,LBN,2012,42.9
Lebanon,LBN,2014,42.7
Lebanon,LBN,2016,42.6
Lebanon,LBN,2018,42.6
Lesotho,LSO,2007,25.1
Lesotho,LSO,2010,26
Lesotho,LSO,2012,26.8
Lesotho,LSO,2014,27.7
Lesotho,LSO,2016,28.7
Lesotho,LSO,2018,29.7
Liberia,LBR,2007,11.3
Liberia,LBR,2010,10.4
Liberia,LBR,2012,9.9
Liberia,LBR,2014,9.3
Liberia,LBR,2016,8.8
Liberia,LBR,2018,8.4
Lithuania,LTU,2007,32.4
Lithuania,LTU,2010,30.8
Lithuania,LTU,2012,29.8
Lithuania,LTU,2014,29
Lithuania,LTU,2016,28
Lithuania,LTU,2018,27.1
Low & middle income,,2007,29.6534243245859
Low & middle income,,2010,27.7976499710699
Low & middle income,,2012,26.6449811214144
Low & middle income,,2014,25.5444098768774
Low & middle income,,2016,24.563767103485
Low & middle income,,2018,23.6153454278696
Lower middle income,,2007,33.2759232830242
Lower middle income,,2010,30.6625909175006
Lower middle income,,2012,29.1083287656845
Lower middle income,,2014,27.6870439144685
Lower middle income,,2016,26.3874969902788
Lower middle income,,2018,25.1338549253083
Luxembourg,LUX,2007,26.2
Luxembourg,LUX,2010,24.9
Luxembourg,LUX,2012,24
Luxembourg,LUX,2014,23.3
Luxembourg,LUX,2016,22.5
Luxembourg,LUX,2018,21.7
Madagascar,MDG,2007,36.5
Madagascar,MDG,2010,34
Madagascar,MDG,2012,32.5
Madagascar,MDG,2014,31.2
Madagascar,MDG,2016,30
Madagascar,MDG,2018,28.9
Malawi,MWI,2007,19.5
Malawi,MWI,2010,17.4
Malawi,MWI,2012,16
Malawi,MWI,2014,14.9
Malawi,MWI,2016,13.8
Malawi,MWI,2018,12.8
Malaysia,MYS,2007,25.7
Malaysia,MYS,2010,24.5
Malaysia,MYS,2012,23.8
Malaysia,MYS,2014,23.1
Malaysia,MYS,2016,22.5
Malaysia,MYS,2018,21.8
Mali,MLI,2007,12.5
Mali,MLI,2010,12.3
Mali,MLI,2012,12.2
Mali,MLI,2014,12.1
Mali,MLI,2016,12.1
Mali,MLI,2018,12
Malta,MLT,2007,30.1
Malta,MLT,2010,28.6
Malta,MLT,2012,27.8
Malta,MLT,2014,26.8
Malta,MLT,2016,25.9
Malta,MLT,2018,25.1
Mauritius,MUS,2007,31.7
Mauritius,MUS,2010,30.1
Mauritius,MUS,2012,29.1
Mauritius,MUS,2014,28.2
Mauritius,MUS,2016,27.6
Mauritius,MUS,2018,26.9
Mexico,MEX,2007,19.4
Mexico,MEX,2010,17.7
Mexico,MEX,2012,16.7
Mexico,MEX,2014,15.7
Mexico,MEX,2016,14.8
Mexico,MEX,2018,13.9
Middle East & North Africa,,2007,21.3039238522432
Middle East & North Africa,,2010,20.4449259111449
Middle East & North Africa,,2012,19.9953440867714
Middle East & North Africa,,2014,19.6351842456058
Middle East & North Africa,,2016,19.2115119355894
Middle East & North Africa,,2018,18.881129803824
Middle East & North Africa (IDA & IBRD),,2007,21.624116441242
Middle East & North Africa (IDA & IBRD),,2010,20.7377457019472
Middle East & North Africa (IDA & IBRD),,2012,20.2741908885622
Middle East & North Africa (IDA & IBRD),,2014,19.8889161227707
Middle East & North Africa (IDA & IBRD),,2016,19.4422653027161
Middle East & North Africa (IDA & IBRD),,2018,19.0771407592796
Middle East & North Africa (excluding high income),,2007,21.624116441242
Middle East & North Africa (excluding high income),,2010,20.7377457019472
Middle East & North Africa (excluding high income),,2012,20.2741908885622
Middle East & North Africa (excluding high income),,2014,19.8889161227707
Middle East & North Africa (excluding high income),,2016,19.4422653027161
Middle East & North Africa (excluding high income),,2018,19.0771407592796
Middle income,,2007,30.2932733630331
Middle income,,2010,28.4370670334845
Middle income,,2012,27.2863414931834
Middle income,,2014,26.1875659516031
Middle income,,2016,25.2118623391994
Middle income,,2018,24.267294601066
Moldova,MDA,2007,24.7
Moldova,MDA,2010,24.8
Moldova,MDA,2012,25
Moldova,MDA,2014,25
Moldova,MDA,2016,25.1
Moldova,MDA,2018,25.3
Mongolia,MNG,2007,33.4
Mongolia,MNG,2010,31.9
Mongolia,MNG,2012,30.7
Mongolia,MNG,2014,29.6
Mongolia,MNG,2016,28.4
Mongolia,MNG,2018,27.6
Morocco,MAR,2007,19.4
Morocco,MAR,2010,18
Morocco,MAR,2012,17.1
Morocco,MAR,2014,16.4
Morocco,MAR,2016,15.5
Morocco,MAR,2018,14.7
Mozambique,MOZ,2007,21.4
Mozambique,MOZ,2010,19.2
Mozambique,MOZ,2012,17.9
Mozambique,MOZ,2014,16.6
Mozambique,MOZ,2016,15.4
Mozambique,MOZ,2018,14.4
Myanmar,MMR,2007,55.4
Myanmar,MMR,2010,52.5
Myanmar,MMR,2012,50.5
Myanmar,MMR,2014,48.8
Myanmar,MMR,2016,46.8
Myanmar,MMR,2018,45.5
Namibia,NAM,2007,21.9
Namibia,NAM,2010,20.4
Namibia,NAM,2012,19.6
Namibia,NAM,2014,18.9
Namibia,NAM,2016,18.3
Namibia,NAM,2018,17.9
Nauru,NRU,2007,62.8
Nauru,NRU,2010,59.5
Nauru,NRU,2012,57.5
Nauru,NRU,2014,55.7
Nauru,NRU,2016,53.9
Nauru,NRU,2018,52.1
Nepal,NPL,2007,49
Nepal,NPL,2010,43.4
Nepal,NPL,2012,40
Nepal,NPL,2014,37
Nepal,NPL,2016,34.3
Nepal,NPL,2018,31.9
Netherlands,NLD,2007,28.4
Netherlands,NLD,2010,27
Netherlands,NLD,2012,26.1
Netherlands,NLD,2014,25.1
Netherlands,NLD,2016,24.3
Netherlands,NLD,2018,23.4
New Zealand,NZL,2007,22.5
New Zealand,NZL,2010,20.1
New Zealand,NZL,2012,18.6
New Zealand,NZL,2014,17.3
New Zealand,NZL,2016,16
New Zealand,NZL,2018,14.8
Niger,NER,2007,8
Niger,NER,2010,8.1
Niger,NER,2012,8.3
Niger,NER,2014,8.4
Niger,NER,2016,8.4
Niger,NER,2018,8.6
Nigeria,NGA,2007,6.1
Nigeria,NGA,2010,5.7
Nigeria,NGA,2012,5.4
Nigeria,NGA,2014,5.2
Nigeria,NGA,2016,5
Nigeria,NGA,2018,4.8
North America,,2007,28.997605698605
North America,,2010,27.5698224878515
North America,,2012,26.7238503080262
North America,,2014,25.8078161132184
North America,,2016,25.0135386701797
North America,,2018,24.3017132229155
North Korea,PRK,2007,20.3
North Korea,PRK,2010,19.8
North Korea,PRK,2012,19.5
North Korea,PRK,2014,19.2
North Korea,PRK,2016,19
